Planet,Link
HD-284149-AB-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-284149-AB_b
TOI-5076-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5076_b
KMT-2023-BLG-0735L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-0735L_b
KMT-2023-BLG-0469L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-0469L_b
MOA-2022-BLG-563L-b,https://eyes.nasa.gov/apps/exo/#/planet/MOA-2022-BLG-563L_b
NGTS-26-b,https://eyes.nasa.gov/apps/exo/#/planet/NGTS-26_b
NGTS-26-b,https://eyes.nasa.gov/apps/exo/#/planet/NGTS-26_b
TOI-2120-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2120_b
TOI-1448-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1448_b
TOI-782-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-782_b
TOI-4527.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4527.01
TOI-5388.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5388.01
TOI-5082.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5082.01
TOI-4602.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4602.01
TOI-4602.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4602.01
TOI-4495.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4495.01
TOI-4443.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4443.01
TOI-3353.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3353.01
TOI-1806.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1806.01
TOI-1683.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1683.01
TOI-1410.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1410.01
TOI-907.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-907.01
TOI-907.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-907.01
TOI-261.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-261.01
TOI-128.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-128.01
TOI-654.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-654.01
TOI-406.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-406.01
OGLE-2023-BLG-0836L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2023-BLG-0836L_b
TOI-1450-A-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1450-A_c
TIC-393818343-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-393818343_b
TOI-1450-A-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1450-A_c
TIC-393818343-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-393818343_b
TOI-2447-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2447_b
TOI-1450-A-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1450-A_b
HD-73344-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-73344_b
TOI-2015-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2015_b
TOI-6086-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-6086_b
TOI-6008-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-6008_b
TOI-5720-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5720_b
TOI-5720-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5720_b
UCAC4-328-061594-b,https://eyes.nasa.gov/apps/exo/#/planet/UCAC4-328-061594_b
UCAC3-113-933-b,https://eyes.nasa.gov/apps/exo/#/planet/UCAC3-113-933_b
Gliese-12-b,https://eyes.nasa.gov/apps/exo/#/planet/Gliese-12_b
SPECULOOS-3-b,https://eyes.nasa.gov/apps/exo/#/planet/SPECULOOS-3_b
TOI-4633-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4633_c
2MASS-J0249-0557-c,https://eyes.nasa.gov/apps/exo/#/planet/2MASS-J0249-0557_c
TOI-815-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-815_c
2MASS-J0249-0557-c,https://eyes.nasa.gov/apps/exo/#/planet/2MASS-J0249-0557_c
TOI-815-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-815_c
TOI-815-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-815_b
TOI-4559-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4559_b
TOI-1739-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1739_b
Kepler-1660-AB-b,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1660-AB_b
ITG-15-b,https://eyes.nasa.gov/apps/exo/#/planet/ITG-15_b
TIC-139270665-c,https://eyes.nasa.gov/apps/exo/#/planet/TIC-139270665_c
TIC-139270665-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-139270665_b
TIC-139270665-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-139270665_b
2MASS-J11011926-7732383-b,https://eyes.nasa.gov/apps/exo/#/planet/2MASS-J11011926-7732383_b
G-196-3-b,https://eyes.nasa.gov/apps/exo/#/planet/G-196-3_b
2MASS-J03590986+2009361-b,https://eyes.nasa.gov/apps/exo/#/planet/2MASS-J03590986+2009361_b
2MASS-J21252752-8138278-b,https://eyes.nasa.gov/apps/exo/#/planet/2MASS-J21252752-8138278_b
2MASS-J11550485-7919108-b,https://eyes.nasa.gov/apps/exo/#/planet/2MASS-J11550485-7919108_b
TOI-4336-A-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4336-A_b
TOI-4336-A-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4336-A_b
TOI-871-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-871_b
KMT-2023-BLG-1642L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-1642L_b
KMT-2023-BLG-1454L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-1454L_b
KMT-2023-BLG-0416L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-0416L_b
HIP-39017-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-39017_b
TOI-1467-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1467_b
TOI-771-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-771_b
NGTS-30-b,https://eyes.nasa.gov/apps/exo/#/planet/NGTS-30_b
TOI-771-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-771_b
NGTS-30-b,https://eyes.nasa.gov/apps/exo/#/planet/NGTS-30_b
TOI-2068-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2068_b
TOI-5799-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5799_b
KMT-2021-BLG-1150L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2021-BLG-1150L_b
OGLE-2017-BLG-0640L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2017-BLG-0640L_b
OGLE-2017-BLG-1275L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2017-BLG-1275L_b
OGLE-2017-BLG-1237L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2017-BLG-1237L_b
OGLE-2017-BLG-1237L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2017-BLG-1237L_b
HD-104067-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-104067_c
M62H-b,https://eyes.nasa.gov/apps/exo/#/planet/M62H_b
Luhman-16-b,https://eyes.nasa.gov/apps/exo/#/planet/Luhman-16_b
TOI-4438-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4438_b
OGLE-2016-BLG-1093L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2016-BLG-1093L_b
NGC-2682-Sand-1429-b,https://eyes.nasa.gov/apps/exo/#/planet/NGC-2682-Sand-1429_b
CI-Tauri-c,https://eyes.nasa.gov/apps/exo/#/planet/CI-Tauri_c
HS-Piscium-b,https://eyes.nasa.gov/apps/exo/#/planet/HS-Piscium_b
CI-Tauri-c,https://eyes.nasa.gov/apps/exo/#/planet/CI-Tauri_c
HS-Piscium-b,https://eyes.nasa.gov/apps/exo/#/planet/HS-Piscium_b
TOI-4515-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4515_b
LHS-1678-d,https://eyes.nasa.gov/apps/exo/#/planet/LHS-1678_d
Teegardens-Star-d,https://eyes.nasa.gov/apps/exo/#/planet/Teegardens-Star_d
TOI-1199-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1199_b
TOI-1273-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1273_b
TOI-1347-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1347_b
TOI-1347-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1347_c
TOI-1347-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1347_b
TOI-1347-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1347_c
TOI-1135-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1135_b
TOI-904-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-904_b
TOI-904-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-904_c
TOI-1386-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1386_b
TOI-1386-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1386_c
Kepler-139-d,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-139_d
Kepler-48-f,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-48_f
Kepler-48-f,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-48_f
Kepler-139-e,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-139_e
HD-134606-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-134606_b
HD-134606-f,https://eyes.nasa.gov/apps/exo/#/planet/HD-134606_f
HD-134606-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-134606_c
HD-134606-d,https://eyes.nasa.gov/apps/exo/#/planet/HD-134606_d
HD-134606-e,https://eyes.nasa.gov/apps/exo/#/planet/HD-134606_e
TOI-238-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-238_b
HD-134606-e,https://eyes.nasa.gov/apps/exo/#/planet/HD-134606_e
TOI-238-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-238_b
TOI-1751-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1751_b
TOI-238-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-238_c
Wolf-327-b,https://eyes.nasa.gov/apps/exo/#/planet/Wolf-327_b
TOI-2266-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2266_b
KMT-2018-BLG-0885L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2018-BLG-0885L_b
KMT-2019-BLG-0297L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2019-BLG-0297L_b
KMT-2019-BLG-0335L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2019-BLG-0335L_b
KMT-2019-BLG-0335L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2019-BLG-0335L_b
HD-63433-d,https://eyes.nasa.gov/apps/exo/#/planet/HD-63433_d
KMT-2021-BLG-1770L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2021-BLG-1770L_b
TOI-2416-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2416_b
TOI-2524-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2524_b
LHS-3154-b,https://eyes.nasa.gov/apps/exo/#/planet/LHS-3154_b
TOI-2373-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2373_b
TOI-4641-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4641_b
TOI-2373-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2373_b
TOI-4641-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4641_b
HD-112570-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-112570_b
HD-154391-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-154391_b
KMT-2021-BLG-1547L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2021-BLG-1547L_b
TOI-544-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-544_c
HD-88986-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-88986_b
HD-110067-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-110067_b
HD-110067-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-110067_c
HD-110067-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-110067_c
HD-110067-e,https://eyes.nasa.gov/apps/exo/#/planet/HD-110067_e
HD-110067-f,https://eyes.nasa.gov/apps/exo/#/planet/HD-110067_f
HD-110067-g,https://eyes.nasa.gov/apps/exo/#/planet/HD-110067_g
TOI-2134-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2134_b
TOI-2134-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2134_c
TOI-4377-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4377_b
TOI-1736-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1736_b
TOI-1736-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1736_b
TOI-2010-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2010_b
TOI-2141-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2141_b
TOI-4551-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4551_b
TOI-1736-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1736_c
AU-Microscopii-d,https://eyes.nasa.gov/apps/exo/#/planet/AU-Microscopii_d
GJ-806-b,https://eyes.nasa.gov/apps/exo/#/planet/GJ-806_b
GJ-806-c,https://eyes.nasa.gov/apps/exo/#/planet/GJ-806_c
GJ-806-c,https://eyes.nasa.gov/apps/exo/#/planet/GJ-806_c
TOI-1194-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1194_b
TOI-5344-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5344_b
TOI-5398-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5398_c
TOI-5126-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5126_b
TOI-5126-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5126_c
HIP-66074-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-66074_b
Kepler-1513-c,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1513_c
HIP-66074-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-66074_b
Kepler-1513-c,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1513_c
GJ-724-b,https://eyes.nasa.gov/apps/exo/#/planet/GJ-724_b
GJ-3988-b,https://eyes.nasa.gov/apps/exo/#/planet/GJ-3988_b
TOI-1801-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1801_b
TOI-858-B-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-858-B_b
